16.08.2023                   Salida dinámica de lista                          1
--------------------------------------------------------------------------------
--------------------------------------------------------------------
|F. Entrega|Pedido.       |En lis.esp|Estatus pedido               |
|17.08.2023|8014660232    |          |Por confirmar - Cabecera     |
|17.08.2023|8014667313-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014665282    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665198    |          |Por confirmar - Cabecera     |
|17.08.2023|8014651144    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014654706-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014660042-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014659278-P-S|          |Cancelada - Cabecera         |
|17.08.2023|8014631312-P-S|X         |Cancelada - Cabecera         |
|17.08.2023|8014648097    |X         |Cancelada - Cabecera         |
|17.08.2023|8014659857    |X         |Confirmada - Cabecera        |
|17.08.2023|8014668539-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646009    |          |Confirmada - Cabecera        |
|17.08.2023|8014613351-P-S|          |Cancelada - Cabecera         |
|17.08.2023|8014644403    |          |Confirmada - Cabecera        |
|17.08.2023|8014648489-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014619164    |          |Confirmada - Cabecera        |
|17.08.2023|8014668274    |          |Confirmada - Cabecera        |
|17.08.2023|8014662426    |X         |Confirmada - Cabecera        |
|17.08.2023|8014668753-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014657464    |          |Confirmada - Cabecera        |
|17.08.2023|8014644337-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014664870-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014602680    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014669933    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014655562    |          |Cancelada - Cabecera         |
|17.08.2023|8014658723    |          |Confirmada - Cabecera        |
|17.08.2023|8014650098-P-S|          |Confirmada - Cabecera        |
|17.08.2023|8014647499    |          |Confirmada - Cabecera        |
|17.08.2023|8014655753    |X         |Cancelada - Cabecera         |
|17.08.2023|8014659330    |          |Confirmada - Cabecera        |
|17.08.2023|8014650808-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014651128    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014669359-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014651162-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014656378-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014662839-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014643950    |          |Confirmada - Cabecera        |
|17.08.2023|8014644407    |          |Confirmada - Cabecera        |
|17.08.2023|8014669512    |X         |Confirmada - Cabecera        |
|17.08.2023|8014664505-S  |          |Cancelada - Cabecera         |
|17.08.2023|8014663866-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014631892    |X         |Bloqueada - Cabecera         |
|17.08.2023|8014658191    |          |Por confirmar - Cabecera     |
|17.08.2023|8014660765    |          |Confirmada - Cabecera        |
|17.08.2023|8014670402    |          |Confirmada - Cabecera        |
|17.08.2023|8014668603-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014616654    |          |Confirmada - Cabecera        |
|17.08.2023|8014660164    |          |Por confirmar - Cabecera     |
|17.08.2023|8014634901-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014654161    |          |Confirmada - Cabecera        |
|17.08.2023|8014657422    |          |Por confirmar - Cabecera     |
|17.08.2023|8014660634    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014665284    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665290    |          |Por confirmar - Cabecera     |
|17.08.2023|8014647240-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014669716-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646243-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014665891    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014665903    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014668044-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014657322    |          |Por confirmar - Cabecera     |
|17.08.2023|8014657442-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014652602    |          |Confirmada - Cabecera        |
|17.08.2023|8014657826    |          |Por confirmar - Cabecera     |
|17.08.2023|8014659860-S  |X         |Bloqueada - Cabecera         |
|17.08.2023|8014619220    |X         |Confirmada - Cabecera        |
|17.08.2023|8014668569-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646981-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014665756-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014664620    |X         |Confirmada - Cabecera        |
|17.08.2023|8014653982    |          |Por confirmar - Cabecera     |
|17.08.2023|8014633959-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014669662-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014659026-P-S|          |Cancelada - Cabecera         |
|17.08.2023|8014650493-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014669714-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014657550    |X         |Cancelada - Cabecera         |
|17.08.2023|8014642951    |          |Confirmada - Cabecera        |
|17.08.2023|8014654956    |          |Confirmada - Cabecera        |
|17.08.2023|8014666352    |          |Confirmada - Cabecera        |
|17.08.2023|8014669388-S  |          |Bloqueada - Cabecera         |
|17.08.2023|8014653033    |          |Confirmada - Cabecera        |
|17.08.2023|8014667475-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014646481-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014652196    |          |Por confirmar - Cabecera     |
|17.08.2023|8014636188-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014660603    |          |Confirmada - Cabecera        |
|17.08.2023|8014670267-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014658808    |          |Confirmada - Cabecera        |
|17.08.2023|8014653353    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014645965    |          |Confirmada - Cabecera        |
|17.08.2023|8014628620-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014666315    |X         |Confirmada - Cabecera        |
|17.08.2023|8014665046    |          |Confirmada - Cabecera        |
|17.08.2023|8014635167-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014660837    |          |Confirmada - Cabecera        |
|17.08.2023|8014658193    |          |Por confirmar - Cabecera     |
|17.08.2023|8014634831-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014657357    |          |Confirmada - Cabecera        |
|17.08.2023|8014660233    |          |Por confirmar - Cabecera     |
|17.08.2023|8014659878    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014657416    |          |Por confirmar - Cabecera     |
|17.08.2023|8014662493-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014665285    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665291    |          |Por confirmar - Cabecera     |
|17.08.2023|8014650170-P-S|          |Confirmada - Cabecera        |
|17.08.2023|8014659838-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014670206-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014657644-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014661250-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014669604-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014666068    |X         |Confirmada - Cabecera        |
|17.08.2023|8014640493    |          |Confirmada - Cabecera        |
|17.08.2023|8014662518-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014653974    |          |Por confirmar - Cabecera     |
|17.08.2023|8014599783-P-S|X         |Cancelada - Cabecera         |
|17.08.2023|8014644698-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014641119-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646258    |          |Confirmada - Cabecera        |
|17.08.2023|8014634751    |          |Por confirmar - Cabecera     |
|17.08.2023|8014642909    |          |Confirmada - Cabecera        |
|17.08.2023|8014635564    |          |Confirmada - Cabecera        |
|17.08.2023|8014654433    |          |Por confirmar - Cabecera     |
|17.08.2023|8014629070    |          |Confirmada - Cabecera        |
|17.08.2023|8014662357-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014669542    |X         |Confirmada - Cabecera        |
|17.08.2023|8014648461    |          |Confirmada - Cabecera        |
|17.08.2023|8014644761-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014654475-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014633958    |X         |Confirmada - Cabecera        |
|17.08.2023|8014660604    |          |Confirmada - Cabecera        |
|17.08.2023|8014657323    |          |Por confirmar - Cabecera     |
|17.08.2023|8014653648    |          |Confirmada - Cabecera        |
|17.08.2023|8014644157-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014667961    |X         |Confirmada - Cabecera        |
|17.08.2023|8014628624-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014661663    |          |Confirmada - Cabecera        |
|17.08.2023|8014664523-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014619222    |          |Confirmada - Cabecera        |
|17.08.2023|8014665864    |          |Por confirmar - Cabecera     |
|17.08.2023|8014660619    |X         |Cancelada - Cabecera         |
|17.08.2023|8014647048-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014658220    |          |Por confirmar - Cabecera     |
|17.08.2023|8014669893    |          |Confirmada - Cabecera        |
|17.08.2023|8014660165    |          |Por confirmar - Cabecera     |
|17.08.2023|8014654158    |          |Confirmada - Cabecera        |
|17.08.2023|8014665286    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665293    |          |Por confirmar - Cabecera     |
|17.08.2023|8014654474-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014658975-P-S|          |Por confirmar - Cabecera     |
|17.08.2023|8014653359    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014646771    |X         |Confirmada - Cabecera        |
|17.08.2023|8014650554    |          |Cancelada - Cabecera         |
|17.08.2023|8014667726    |X         |Confirmada - Cabecera        |
|17.08.2023|8014644092    |          |Confirmada - Cabecera        |
|17.08.2023|8014660697    |X         |Confirmada - Cabecera        |
|17.08.2023|8014643694    |          |Confirmada - Cabecera        |
|17.08.2023|8014665758-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014662091    |          |Confirmada - Cabecera        |
|17.08.2023|8014635160-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014645010    |          |Confirmada - Cabecera        |
|17.08.2023|8014668381-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014640157    |          |Confirmada - Cabecera        |
|17.08.2023|8014587137-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014643510-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014666091    |X         |Confirmada - Cabecera        |
|17.08.2023|8014662438    |X         |Confirmada - Cabecera        |
|17.08.2023|8014650021    |X         |Confirmada - Cabecera        |
|17.08.2023|8014668027    |X         |Confirmada - Cabecera        |
|17.08.2023|8014641027-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014669838    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014650315-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014657447-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014656256    |X         |Confirmada - Cabecera        |
|17.08.2023|8014650623    |          |Confirmada - Cabecera        |
|17.08.2023|8014645861-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014670192-S  |X         |Bloqueada - Cabecera         |
|17.08.2023|8014670453    |          |Confirmada - Cabecera        |
|17.08.2023|8014644705-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014653505-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014642971    |          |Confirmada - Cabecera        |
|17.08.2023|8014660261    |          |Por confirmar - Cabecera     |
|17.08.2023|8014638923-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014638875    |          |Confirmada - Cabecera        |
|17.08.2023|8014667955-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014668584    |          |Confirmada - Cabecera        |
|17.08.2023|8014657423    |          |Por confirmar - Cabecera     |
|17.08.2023|8014655703    |X         |Confirmada - Cabecera        |
|17.08.2023|8014575148-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014665294    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665287    |          |Por confirmar - Cabecera     |
|17.08.2023|8014651168    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014651147    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014669614    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014652750-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014654681-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014651430-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646849-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014610239-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014659178-P-S|          |Por confirmar - Cabecera     |
|17.08.2023|8014655295    |          |Confirmada - Cabecera        |
|17.08.2023|8014635382-S  |          |Cancelada - Cabecera         |
|17.08.2023|8014659448-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014660994-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014660992-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014663589-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014650947    |X         |Confirmada - Cabecera        |
|17.08.2023|8014663061    |X         |Confirmada - Cabecera        |
|17.08.2023|8014657828    |          |Por confirmar - Cabecera     |
|17.08.2023|8014662040    |          |Confirmada - Cabecera        |
|17.08.2023|8014645317    |X         |Confirmada - Cabecera        |
|17.08.2023|8014662054    |          |Confirmada - Cabecera        |
|17.08.2023|8014653678-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014665049    |          |Confirmada - Cabecera        |
|17.08.2023|8014664142-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014641329    |          |Confirmada - Cabecera        |
|17.08.2023|8014641755    |X         |Confirmada - Cabecera        |
|17.08.2023|8014668601-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014666697-S  |X         |Bloqueada - Cabecera         |
|17.08.2023|8014645294-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014652162-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014669913-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014644375-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014660573    |          |Por confirmar - Cabecera     |
|17.08.2023|8014634850    |          |Por confirmar - Cabecera     |
|17.08.2023|8014670214-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014654273    |          |Confirmada - Cabecera        |
|17.08.2023|8014666061-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014635472    |          |Confirmada - Cabecera        |
|17.08.2023|8014670021    |          |Confirmada - Cabecera        |
|17.08.2023|8014640036    |          |Confirmada - Cabecera        |
|17.08.2023|8014640742    |          |Confirmada - Cabecera        |
|17.08.2023|8014661193-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014654146    |          |Confirmada - Cabecera        |
|17.08.2023|8014664629-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014650422-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014669544    |X         |Confirmada - Cabecera        |
|17.08.2023|8014660172    |X         |Confirmada - Cabecera        |
|17.08.2023|8014641461    |          |Confirmada - Cabecera        |
|17.08.2023|8014662490    |X         |Confirmada - Cabecera        |
|17.08.2023|8014653126-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014665376-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014641053-P-S|          |Por confirmar - Cabecera     |
|17.08.2023|8014664954    |          |Confirmada - Cabecera        |
|17.08.2023|8014652550    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014660135    |X         |Confirmada - Cabecera        |
|17.08.2023|8014666674    |          |Confirmada - Cabecera        |
|17.08.2023|8014657324    |          |Por confirmar - Cabecera     |
|17.08.2023|8014644087-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014659732-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014652968    |          |Confirmada - Cabecera        |
|17.08.2023|8014644003    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014622658    |          |Confirmada - Cabecera        |
|17.08.2023|8014653738    |          |Confirmada - Cabecera        |
|17.08.2023|8014668453    |          |Confirmada - Cabecera        |
|17.08.2023|8014645897-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014639289-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014656412-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014665949-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014666253-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014658157    |X         |Confirmada - Cabecera        |
|17.08.2023|8014669823-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014655092-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014650966-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014653761-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014647030-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014658195    |          |Por confirmar - Cabecera     |
|17.08.2023|8014664369    |X         |Confirmada - Cabecera        |
|17.08.2023|8014641431-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014653631-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014660262    |          |Por confirmar - Cabecera     |
|17.08.2023|8014643061-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014642946    |          |Confirmada - Cabecera        |
|17.08.2023|8014668589    |          |Confirmada - Cabecera        |
|17.08.2023|8014657417    |          |Por confirmar - Cabecera     |
|17.08.2023|8014657372    |          |Confirmada - Cabecera        |
|17.08.2023|8014669962-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014587135    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014662496-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014660676    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014665288    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665295    |          |Por confirmar - Cabecera     |
|17.08.2023|8014639581-S  |          |Cancelada - Cabecera         |
|17.08.2023|8014656116-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646545    |          |Confirmada - Cabecera        |
|17.08.2023|8014651362    |          |Confirmada - Cabecera        |
|17.08.2023|8014660557    |          |Confirmada - Cabecera        |
|17.08.2023|8014651965-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014609985    |          |Confirmada - Cabecera        |
|17.08.2023|8014644235    |          |Confirmada - Cabecera        |
|17.08.2023|8014614489-S  |          |Cancelada - Cabecera         |
|17.08.2023|8014661177-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014660065    |          |Confirmada - Cabecera        |
|17.08.2023|8014653621-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014652840    |          |Confirmada - Cabecera        |
|17.08.2023|8014650934    |          |Confirmada - Cabecera        |
|17.08.2023|8014669901-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014643751    |          |Confirmada - Cabecera        |
|17.08.2023|8014645798    |          |Confirmada - Cabecera        |
|17.08.2023|8014640133-P-S|          |Confirmada - Cabecera        |
|17.08.2023|8014645875    |          |Confirmada - Cabecera        |
|17.08.2023|8014666993-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014641708    |X         |Confirmada - Cabecera        |
|17.08.2023|8014657727-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014653984    |          |Por confirmar - Cabecera     |
|17.08.2023|8014637989    |          |Confirmada - Cabecera        |
|17.08.2023|8014669807-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014638763    |          |Confirmada - Cabecera        |
|17.08.2023|8014644625-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014634932    |          |Por confirmar - Cabecera     |
|17.08.2023|8014654588    |          |Confirmada - Cabecera        |
|17.08.2023|8014669909-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014641267    |          |Confirmada - Cabecera        |
|17.08.2023|8014662499-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014657910-P  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014658356    |          |Confirmada - Cabecera        |
|17.08.2023|8014642479-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014656155-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646524-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014655344    |X         |Confirmada - Cabecera        |
|17.08.2023|8014609886-P-S|          |Confirmada - Cabecera        |
